"지구별","주차장명","주차대수","이용시간","날짜"
"PLT-008","여의도5주차장","9104","2211442","2025/03"
"PLT-010","잠원2-6주차장","52189","5527754","2025/03"
"PLT-003","망원1주차장","11083","1175383","2025/03"
"PLT-006","광나루3주차장","12724","862625","2025/03"
"PLT-011","잠실2주차장","2848","346170","2025/03"
"PLT-011","잠실1주차장","49315","2427709","2025/03"
"PLT-007","양화1주차장","8596","992238","2025/03"
"PLT-005","뚝섬3주차장","12987","1433331","2025/03"
"PLT-008","여의도1주차장","63948","9181253","2025/03"
"PLT-004","이촌2주차장","8218","924008","2025/03"
"PLT-009","반포2,3주차장","72859","6667025","2025/03"
"PLT-008","여의도3주차장","39671","9571370","2025/03"
"PLT-003","망원2,3주차장","32809","2770893","2025/03"
"PLT-005","뚝섬4주차장","19842","1928804","2025/03"
"PLT-007","양화3주차장","20865","1840197","2025/03"
"PLT-010","잠원1주차장","15622","1271439","2025/03"
"PLT-005","뚝섬1주차장","6766","480745","2025/03"
"PLT-008","여의도2주차장","47901","4844274","2025/03"
"PLT-006","광나루4주차장","8367","458104","2025/03"
"PLT-011","잠실2,3주차장","3352","421999","2025/03"
"PLT-006","광나루1,2주차장","15508","1546607","2025/03"
"PLT-005","뚝섬2주차장","21661","3039020","2025/03"
"PLT-002","난지1,2,3주차장","49921","2638270","2025/03"
"PLT-011","잠실4주차장","16926","1153404","2025/03"
"PLT-004","이촌3주차장","28317","2763210","2025/03"
"PLT-008","여의도4주차장","4202","1330833","2025/03"
"PLT-004","이촌1주차장","5924","442070","2025/03"
"PLT-009","반포1주차장","20568","1416468","2025/03"
"PLT-006","광나루3주차장","6827","402673","2025/02"
"PLT-007","양화3주차장","11815","859566","2025/02"
"PLT-008","여의도2주차장","26998","3977325","2025/02"
"PLT-009","반포2,3주차장","44392","3977750","2025/02"
"PLT-004","이촌2주차장","5423","521343","2025/02"
"PLT-002","난지1,2,3주차장","35263","1296281","2025/02"
"PLT-005","뚝섬2주차장","12066","1636341","2025/02"
"PLT-001","강서1주차장","3826","208565","2025/02"
"PLT-008","여의도5주차장","8041","2003662","2025/02"
"PLT-005","뚝섬1주차장","4009","287676","2025/02"
"PLT-004","이촌3주차장","18467","1730873","2025/02"
"PLT-003","망원2,3주차장","20954","1704014","2025/02"
"PLT-005","뚝섬4주차장","14119","1541324","2025/02"
"PLT-008","여의도1주차장","37099","6624590","2025/02"
"PLT-007","양화2주차장","998","84261","2025/02"
"PLT-006","광나루4주차장","9457","365142","2025/02"
"PLT-008","여의도3주차장","29575","8221057","2025/02"
"PLT-007","양화1주차장","5787","709012","2025/02"
"PLT-011","잠실1주차장","41435","1419969","2025/02"
"PLT-010","잠원1주차장","8613","766153","2025/02"
"PLT-009","반포1주차장","14355","749734","2025/02"
"PLT-010","잠원2-6주차장","37472","4163650","2025/02"
"PLT-008","여의도4주차장","3668","1214318","2025/02"
"PLT-006","광나루1,2주차장","9642","913185","2025/02"
"PLT-005","뚝섬3주차장","8412","946937","2025/02"
"PLT-003","망원1주차장","6430","754586","2025/02"
"PLT-004","이촌1주차장","4148","355106","2025/02"
"PLT-011","잠실4주차장","41469","1800997","2025/02"
"PLT-007","양화1주차장","5614","620958","2025/01"
"PLT-009","반포2,3주차장","44360","3737329","2025/01"
"PLT-005","뚝섬2주차장","12949","1670727","2025/01"
"PLT-007","양화2주차장","1294","110884","2025/01"
"PLT-009","반포1주차장","14608","618566","2025/01"
"PLT-010","잠원1주차장","7856","659584","2025/01"
