출발일시(start_dt),도착일시(arv_dt),출발지 코드(start_place_cd),도착지 코드(arv_place_cd),성별(sex_nm),연령대(agegrd_nm),출발 도착지 이동유형(start_arv_place_type),총이동시간(mvmn_time_sum),이동거리(mvmn_dstc),인구수(popl_cnt)
2019-09-30 14:20,2019-10-01 00:00,111607,111479,M,55,EE,576,11070,3.32
2019-09-30 14:20,2019-10-01 00:00,111631,111451,F,50,WH,574,7028,3.16
2019-09-30 14:20,2019-10-01 00:00,111712,111675,F,80,WH,580,2561,19.58
2019-09-30 14:20,2019-10-01 00:20,110516,110181,M,50,EE,593,7436,3.30
2019-09-30 14:20,2019-10-01 00:20,111191,110186,F,30,EH,595,10307,2.41
2019-09-30 14:20,2019-10-01 05:40,111471,330965,M,70,EE,914,94689,4.64
2019-09-30 14:20,2019-10-01 07:20,111595,340559,M,60,EE,1019,84046,3.56
2019-09-30 14:20,2019-10-01 07:20,370372,111764,M,45,EE,1017,181052,3.19
2019-09-30 14:20,2019-10-01 09:20,330671,111723,M,35,EE,1142,171583,2.70
2019-09-30 14:20,2019-10-01 09:40,110859,210734,M,35,EE,1161,321865,2.71
2019-09-30 14:20,2019-10-01 10:20,341025,111514,M,50,EE,1202,147384,3.28
2019-09-30 14:20,2019-10-01 11:00,111764,341376,M,45,EE,1246,117915,3.18
2019-09-30 14:20,2019-10-01 14:00,111653,320495,F,60,EW,1429,148058,3.83
2019-09-30 14:40,2019-10-01 00:00,110070,111502,F,60,EH,570,11465,3.83
2019-09-30 14:40,2019-10-01 00:00,111352,111394,M,20,EH,545,1253,2.71
2019-09-30 14:40,2019-10-01 00:00,111361,111361,F,65,EH,564,541,4.65
2019-09-30 14:40,2019-10-01 00:00,111531,111068,F,30,EH,547,13442,2.41
2019-09-30 14:40,2019-10-01 00:00,111764,111796,M,40,EH,560,6223,2.99
2019-09-30 14:40,2019-10-01 00:20,110719,110717,F,00,EH,571,345,28.24
2019-09-30 14:40,2019-10-01 00:20,110881,110876,F,35,HW,581,1537,3.04
2019-09-30 14:40,2019-10-01 00:20,111191,110902,M,40,WH,576,4510,3.00
2019-09-30 14:40,2019-10-01 00:20,111364,111361,M,25,HE,572,478,2.27
2019-09-30 14:40,2019-10-01 00:20,111398,210226,F,25,HW,580,316163,2.03
2019-09-30 14:40,2019-10-01 00:40,110374,230402,M,25,EH,587,34889,2.28
2019-09-30 14:40,2019-10-01 00:40,110465,110069,F,25,EH,589,6864,2.02
2019-09-30 14:40,2019-10-01 00:40,111316,240058,M,40,EE,613,259789,3.01
2019-09-30 14:40,2019-10-01 00:40,312659,110363,M,55,EH,595,30229,3.30
2019-09-30 14:40,2019-10-01 02:20,110264,370303,M,15,EH,689,263573,4.47
2019-09-30 14:40,2019-10-01 03:20,110915,370803,F,70,EH,771,174543,5.68
2019-09-30 14:40,2019-10-01 05:20,111616,330030,M,60,EE,884,85635,3.54
2019-09-30 14:40,2019-10-01 05:40,111601,330053,F,40,EE,909,92007,3.44
2019-09-30 14:40,2019-10-01 08:20,260297,110067,M,65,EE,1052,295082,4.11
2019-09-30 14:40,2019-10-01 10:20,250180,110665,M,55,EE,1186,153011,3.31
2019-09-30 14:40,2019-10-01 10:40,111076,320990,M,45,EE,1205,153630,3.16
2019-09-30 14:40,2019-10-01 12:20,110086,330742,F,25,EE,1312,81935,2.03
2019-09-30 14:40,2019-10-01 14:00,250258,110917,F,25,EE,1403,140764,2.06
2019-09-30 15:00,2019-10-01 00:00,110035,311335,M,35,WH,531,24877,2.75
2019-09-30 15:00,2019-10-01 00:00,110354,312086,M,45,EH,535,50791,3.18
2019-09-30 15:00,2019-10-01 00:00,110859,110870,M,20,WH,531,2308,2.70
2019-09-30 15:00,2019-10-01 00:00,111214,110982,F,30,EH,531,2941,2.39
2019-09-30 15:00,2019-10-01 00:00,111292,111536,F,55,WH,543,6856,3.24
2019-09-30 15:00,2019-10-01 00:00,111558,110945,M,45,WH,525,18718,3.19
2019-09-30 15:00,2019-10-01 00:00,111575,110872,M,25,EE,548,13898,2.28
2019-09-30 15:00,2019-10-01 00:00,111689,310214,F,45,WH,537,8886,3.35
2019-09-30 15:00,2019-10-01 00:00,111690,111597,M,60,WH,533,2394,3.52
2019-09-30 15:00,2019-10-01 00:00,250093,110191,M,25,EH,544,138414,2.28
2019-09-30 15:00,2019-10-01 00:00,310417,111304,F,30,WE,546,11812,2.38
2019-09-30 15:00,2019-10-01 00:00,310980,110491,M,65,HE,529,15054,4.09
2019-09-30 15:00,2019-10-01 00:20,110700,110583,F,50,EH,563,4710,3.14
2019-09-30 15:00,2019-10-01 00:20,110853,310529,M,45,WH,559,11984,3.18
2019-09-30 15:00,2019-10-01 00:20,110911,110136,M,45,WH,562,9734,3.18
2019-09-30 15:00,2019-10-01 00:20,111536,110372,F,25,EE,562,10279,2.07
2019-09-30 15:00,2019-10-01 00:40,110491,110981,M,25,EH,562,14319,2.28
2019-09-30 15:00,2019-10-01 00:40,110546,110517,F,45,EH,580,2164,3.33
2019-09-30 15:00,2019-10-01 00:40,111434,310102,M,15,EH,576,24052,4.52
2019-09-30 15:00,2019-10-01 01:00,110071,110155,F,20,WH,585,3600,2.18
2019-09-30 15:00,2019-10-01 01:00,111037,390361,F,25,EE,605,474740,2.06
2019-09-30 15:00,2019-10-01 01:00,111667,111646,M,55,EH,588,2677,3.28
2019-09-30 15:00,2019-10-01 04:00,311982,110624,M,35,EE,773,66902,2.73
2019-09-30 15:00,2019-10-01 09:20,330344,110827,M,50,EE,1095,113928,3.27
2019-09-30 15:00,2019-10-01 09:40,390179,111141,M,30,EE,1132,442664,2.35
2019-09-30 15:00,2019-10-01 10:00,111083,340608,F,45,EE,1129,70867,3.31
2019-09-30 15:00,2019-10-01 10:20,330358,111191,M,35,EE,1173,104666,2.73
2019-09-30 15:00,2019-10-01 10:40,111079,330040,F,30,EE,1174,103092,2.43
2019-09-30 15:00,2019-10-01 10:40,312114,110524,M,30,EE,1180,75464,2.38
2019-09-30 15:00,2019-10-01 11:00,111616,260144,M,40,EE,1188,309282,3.00
2019-09-30 15:00,2019-10-01 11:20,110449,312843,M,35,EE,1209,65469,2.70
2019-09-30 15:00,2019-10-01 11:20,110680,290105,M,55,EE,1217,131875,3.29
2019-09-30 15:00,2019-10-01 11:40,340185,111710,M,60,EE,1236,65065,3.51
2019-09-30 15:00,2019-10-01 14:00,370209,111616,M,35,EE,1387,268496,2.73
2019-09-30 15:20,2019-10-01 00:00,111421,311112,M,55,WH,526,16127,3.35
2019-09-30 15:20,2019-10-01 00:00,360554,111078,F,25,EE,534,249553,2.04
2019-09-30 15:20,2019-10-01 00:20,110856,110797,M,25,EE,543,2952,2.28
2019-09-30 15:20,2019-10-01 00:20,111540,350026,F,15,EH,551,192181,4.07
2019-09-30 15:20,2019-10-01 00:40,111535,111352,M,30,WH,560,8202,2.35
2019-09-30 15:20,2019-10-01 01:00,110067,111269,M,70,EH,594,6392,4.57
2019-09-30 15:20,2019-10-01 01:00,110175,110173,M,20,WH,583,799,2.68
2019-09-30 15:20,2019-10-01 01:00,110175,111725,F,20,WH,589,11171,2.19
2019-09-30 15:20,2019-10-01 01:00,110494,110437,F,10,WH,588,574,5.96
2019-09-30 15:20,2019-10-01 01:00,110698,110630,M,50,EE,576,1113,3.28
2019-09-30 15:20,2019-10-01 01:00,110826,311148,M,65,EH,581,25339,4.08
2019-09-30 15:20,2019-10-01 01:00,110894,311151,F,25,EH,580,23809,2.06
2019-09-30 15:20,2019-10-01 01:00,111471,360446,F,25,EE,572,276936,2.04
