거래일,아파트,전용면적,층,건축년도,거래금액,주소
2018-01-10,상계주공7(고층),41.3,10.0,1988-01-01,31500,서울특별시 노원구
2018-01-10,상계주공4(고층),58.01,6.0,1988-01-01,39000,서울특별시 노원구
2018-01-10,상계주공3(고층),58.01,8.0,1987-01-01,40000,서울특별시 노원구
2018-01-10,상계주공16(고층),45.77,3.0,1988-01-01,24800,서울특별시 노원구
2018-01-10,상계주공16(고층),59.39,12.0,1988-01-01,33600,서울특별시 노원구
2018-01-10,상계주공14(고층),49.94,2.0,1989-01-01,29500,서울특별시 노원구
2018-01-11,상계주공1(고층),41.3,10.0,1988-01-01,28500,서울특별시 노원구
2018-01-11,수락산늘푸른,123.44,3.0,2009-01-01,53000,서울특별시 노원구
2018-01-11,상계주공1(저층),84.41,3.0,1988-01-01,44500,서울특별시 노원구
2018-01-11,상계주공9(고층),49.94,3.0,1988-01-01,31700,서울특별시 노원구
2018-01-11,상계주공7(고층),59.39,13.0,1988-01-01,44700,서울특별시 노원구
2018-01-11,상계주공7(고층),58.01,12.0,1988-01-01,43000,서울특별시 노원구
2018-01-11,상계주공5(저층),31.98,4.0,1987-01-01,33000,서울특별시 노원구
2018-01-11,상계주공5(저층),31.98,4.0,1987-01-01,33300,서울특별시 노원구
2018-01-11,상계주공4(고층),83.7,18.0,1988-01-01,50000,서울특별시 노원구
2018-01-11,상계주공3(고층),32.39,10.0,1987-01-01,26000,서울특별시 노원구
2018-01-11,상계주공3(고층),68.86,12.0,1987-01-01,46500,서울특별시 노원구
2018-01-11,상계주공2(고층),32.39,6.0,1987-01-01,23000,서울특별시 노원구
2018-01-11,상계주공14(고층),41.3,12.0,1989-01-01,25000,서울특별시 노원구
2018-01-12,상계대림,84.91,4.0,1989-01-01,42000,서울특별시 노원구
2018-01-12,보람1단지,54.59,13.0,1988-01-01,28900,서울특별시 노원구
2018-01-12,상계주공9(고층),66.56,15.0,1988-01-01,39000,서울특별시 노원구
2018-01-12,상계주공6(고층),58.01,3.0,1988-01-01,39000,서울특별시 노원구
2018-01-12,상계주공5(저층),31.98,4.0,1987-01-01,33000,서울특별시 노원구
2018-01-12,상계주공5(저층),31.98,5.0,1987-01-01,31800,서울특별시 노원구
2018-01-12,상계주공3(고층),59.2,9.0,1987-01-01,40700,서울특별시 노원구
2018-01-12,상계주공3(고층),59.28,7.0,1987-01-01,42700,서울특별시 노원구
2018-01-12,상계주공3(고층),58.01,2.0,1987-01-01,42000,서울특별시 노원구
2018-01-12,상계주공2(고층),32.39,7.0,1987-01-01,23500,서울특별시 노원구
2018-01-12,상계주공2(고층),58.01,7.0,1987-01-01,39000,서울특별시 노원구
2018-01-12,상계주공14(고층),45.55,14.0,1989-01-01,23800,서울특별시 노원구
2018-01-12,상계주공10(고층),41.3,6.0,1988-01-01,31000,서울특별시 노원구
2018-01-12,상계주공10(고층),49.94,13.0,1988-01-01,35000,서울특별시 노원구
2018-01-12,상계주공10(고층),45.9,8.0,1988-01-01,30500,서울특별시 노원구
2018-01-12,은빛2단지,39.7,13.0,1998-01-01,24000,서울특별시 노원구
2018-01-12,불암현대,84.9,19.0,1999-01-01,45000,서울특별시 노원구
2018-01-12,보람2단지,68.99,2.0,1988-01-01,33800,서울특별시 노원구
2018-01-12,벽산,43.35,6.0,1989-01-01,22500,서울특별시 노원구
2018-01-13,동아불암,84.9,4.0,1999-01-01,38000,서울특별시 노원구
2018-01-13,상계주공10(저층),47.34,1.0,1988-01-01,32800,서울특별시 노원구
2018-01-13,보람1단지,44.33,5.0,1988-01-01,25450,서울특별시 노원구
2018-01-13,대림,93.75,7.0,1988-01-01,58300,서울특별시 노원구
2018-01-13,상계대림e편한세상,83.68,8.0,2002-01-01,38650,서울특별시 노원구
2018-01-13,상계주공7(고층),41.3,2.0,1988-01-01,31300,서울특별시 노원구
2018-01-13,상계주공7(고층),49.94,13.0,1988-01-01,42500,서울특별시 노원구
2018-01-13,상계주공5(저층),31.98,5.0,1987-01-01,32500,서울특별시 노원구
2018-01-13,상계주공3(고층),73.94,4.0,1987-01-01,53000,서울특별시 노원구
2018-01-13,상계주공14(고층),45.9,15.0,1989-01-01,22800,서울특별시 노원구
2018-01-13,상계주공10(고층),49.94,9.0,1988-01-01,35000,서울특별시 노원구
2018-01-13,상계1차중앙하이츠,59.82,13.0,1997-01-01,35000,서울특별시 노원구
2018-01-13,벽산,46.8,13.0,1989-01-01,23300,서울특별시 노원구
2018-01-14,상계주공14(고층),90.94,8.0,1989-01-01,48500,서울특별시 노원구
2018-01-14,상계주공7(고층),49.94,13.0,1988-01-01,39000,서울특별시 노원구
2018-01-15,대동황토방,84.97,16.0,2001-01-01,41000,서울특별시 노원구
2018-01-15,수락파크빌,114.82,13.0,2001-01-01,57500,서울특별시 노원구
2018-01-15,상계주공9(고층),41.3,9.0,1988-01-01,26000,서울특별시 노원구
2018-01-15,상계주공4(고층),58.01,11.0,1988-01-01,37400,서울특별시 노원구
2018-01-15,상계주공3(고층),32.39,5.0,1987-01-01,26000,서울특별시 노원구
2018-01-15,상계주공14(고층),49.94,14.0,1989-01-01,30000,서울특별시 노원구
2018-01-15,상계주공1(고층),68.86,9.0,1988-01-01,38000,서울특별시 노원구
2018-01-15,상계불암대림,59.22,9.0,2000-01-01,33300,서울특별시 노원구
2018-01-16,동아불암,84.9,3.0,1999-01-01,37900,서울특별시 노원구
2018-01-16,신이모닝빌,84.9231,1.0,2002-01-01,33500,서울특별시 노원구
2018-01-16,청암2단지,49.77,8.0,2001-01-01,25700,서울특별시 노원구
2018-01-16,상계주공9(고층),49.94,5.0,1988-01-01,32500,서울특별시 노원구
